size,l2_distance,l1_distance,fill_level,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,64,8,2,off,11.2220,11.6130,0.9663,10678668,50939,20195464,0.25,7696,996474890
256,64,8,2,on,11.1740,11.1875,0.9988,358631,133517,12536221,1.07,5967,999830881
256,64,8,3,off,11.1870,11.2715,0.9925,5680035,44872,11948417,0.38,11100,1015380604
256,64,8,3,on,11.2855,11.2805,1.0004,199132,79804,12063358,0.66,4612,1008783012
256,64,16,2,off,11.2680,11.3320,0.9944,10733574,50854,20206347,0.25,7921,999295434
256,64,16,2,on,11.1765,11.2120,0.9968,281358,80068,12241461,0.65,3249,993451737
256,64,16,3,off,11.2430,11.2515,0.9992,5579658,53526,11962363,0.45,6898,1010968408
256,64,16,3,on,11.1770,11.2845,0.9905,228585,67765,12198023,0.56,2657,999551381
256,64,32,2,off,11.2450,11.4330,0.9836,10758599,65290,20151495,0.32,10657,994922374
256,64,32,2,on,11.1305,11.1715,0.9963,311500,68120,12244218,0.56,6223,996475373
256,64,32,3,off,11.2590,11.2195,1.0035,5906948,49144,12098019,0.41,11166,1006526826
256,64,32,3,on,11.1320,11.2855,0.9864,227201,71577,12135342,0.59,6572,1007113421
256,32,8,2,off,11.2305,11.6225,0.9663,10742655,64575,20319037,0.32,6506,1019091741
256,32,8,2,on,11.1395,11.2000,0.9946,266530,84034,12238417,0.69,2576,1000409773
256,32,8,3,off,11.9430,11.7535,1.0161,5492363,106264,12078287,0.88,14946,1025630133
256,32,8,3,on,11.1635,11.1990,0.9968,221003,63164,12078065,0.52,6090,1019291576
256,32,16,2,off,11.2445,11.3580,0.9900,10762962,43733,21704745,0.20,9441,1001108759
256,32,16,2,on,11.3395,11.1765,1.0146,235280,80567,12080577,0.67,5511,1010214175
256,32,16,3,off,11.2585,11.2775,0.9983,5853360,51605,12103748,0.43,8972,1018548492
256,32,16,3,on,11.1565,11.2935,0.9879,215513,63665,12141978,0.52,1701,1022379538
256,32,32,2,off,11.2705,11.3625,0.9919,10762053,49312,16387782,0.30,5030,1010472829
256,32,32,2,on,11.3180,11.1640,1.0138,225682,103080,12112694,0.85,3756,1003604127
256,32,32,3,off,11.2220,11.2570,0.9969,5932523,48131,12075225,0.40,11516,1022959551
256,32,32,3,on,11.1290,11.2375,0.9903,232510,65621,12141154,0.54,4658,1015179428
256,16,8,2,off,11.2375,11.5320,0.9745,10701953,45179,21545956,0.21,9893,1015250931
256,16,8,2,on,11.2030,11.2495,0.9959,260247,108170,12369859,0.87,5089,1003182758
256,16,8,3,off,11.2445,11.7895,0.9538,5649347,78844,12019535,0.66,12147,1030814718
256,16,8,3,on,11.1820,11.3045,0.9892,236472,68486,12105787,0.57,5254,1021244492
256,16,16,2,off,11.2870,11.3800,0.9918,10640663,51670,17119530,0.30,9337,1002818406
256,16,16,2,on,11.1595,11.2775,0.9895,271956,56210,12063217,0.47,5692,1015291231
256,16,16,3,off,11.2235,11.3460,0.9892,5533991,56930,12043298,0.47,3651,1028916728
256,16,16,3,on,11.1645,11.2855,0.9893,226088,70808,12156690,0.58,1488,1020934307
256,16,32,2,off,11.2305,11.3655,0.9881,10739199,43477,20754919,0.21,8983,1009825606
256,16,32,2,on,11.1390,11.1465,0.9993,277525,73992,12133108,0.61,5108,1010245718
256,16,32,3,off,11.2550,11.2820,0.9976,5513595,51273,12021504,0.43,3006,1020770339
256,16,32,3,on,11.1605,11.2725,0.9901,237142,69924,12124276,0.58,1136,1016697818
512,64,8,2,off,109.6130,111.4545,0.9835,89436144,1979732,168540571,1.17,104575,7964020494
512,64,8,2,on,108.5535,109.4290,0.9920,1841209,907742,99318585,0.91,9110,7958514607
512,64,8,3,off,109.4650,150.2495,0.7286,49921109,19546405,95757358,20.41,123441,8079538865
512,64,8,3,on,108.4795,109.8355,0.9877,1328981,1223967,98810001,1.24,8027,8061367402
512,64,16,2,off,109.6385,110.2700,0.9943,89536317,841455,169799020,0.50,120250,7967479055
512,64,16,2,on,108.4710,109.2520,0.9929,1971405,1265042,100226799,1.26,7305,7954724644
512,64,16,3,off,109.5355,157.2585,0.6965,50021094,21817649,96141891,22.69,128009,8077729411
512,64,16,3,on,108.5740,109.6875,0.9898,1355440,842193,98036902,0.86,9228,8061204507
512,64,32,2,off,109.3170,110.2765,0.9913,89559381,1998240,170233736,1.17,113500,7969315052
512,64,32,2,on,108.5580,109.1210,0.9948,1806601,1315042,99846310,1.32,5521,7957598638
512,64,32,3,off,109.4225,137.5525,0.7955,51124243,16773026,96500740,17.38,114945,8065515892
512,64,32,3,on,108.6400,109.5915,0.9913,1332413,2473462,99453176,2.49,11127,8066033245
512,32,8,2,off,109.1850,111.3065,0.9809,89461054,738813,172931745,0.43,119416,8000276477
512,32,8,2,on,108.2825,109.1515,0.9920,1846802,2337219,100398093,2.33,8073,7992782415
512,32,8,3,off,109.1970,176.6755,0.6181,49573950,17193071,95277025,18.05,104996,8169863445
512,32,8,3,on,108.6400,110.0330,0.9873,1309775,1047226,98040757,1.07,8843,8107926084
512,32,16,2,off,109.4375,110.5895,0.9896,89456205,708634,174041925,0.41,75593,7993749595
512,32,16,2,on,108.7215,109.1410,0.9962,1960165,821244,98787527,0.83,6084,8001895557
512,32,16,3,off,109.1880,156.9750,0.6956,49560664,20138193,95011942,21.20,52266,8152642813
512,32,16,3,on,108.4135,110.0805,0.9849,1293301,976449,96852530,1.01,9580,8115449901
512,32,32,2,off,109.1905,110.1660,0.9911,89428644,1269794,136972165,0.93,121600,8001038735
512,32,32,2,on,108.2900,109.2555,0.9912,1850437,877302,98581951,0.89,7469,7988861902
512,32,32,3,off,110.1115,166.2670,0.6623,51335817,19204025,96519104,19.90,120475,8079456646
512,32,32,3,on,108.6055,109.8545,0.9886,1440125,1704078,99078715,1.72,6717,8109556543
512,16,8,2,off,109.5715,111.6000,0.9818,89594147,909450,175292484,0.52,125503,8013710760
512,16,8,2,on,108.4880,109.6065,0.9898,2276799,2412410,104584281,2.31,8275,8006646024
512,16,8,3,off,109.4025,202.5715,0.5401,49676825,15336935,96961900,15.82,121473,8105462980
512,16,8,3,on,108.3190,110.4030,0.9811,1293689,1682658,99511464,1.69,9108,8140427250
512,16,16,2,off,109.4440,110.3990,0.9913,89505483,1200460,137087662,0.88,107026,8015227828
512,16,16,2,on,108.8120,109.3145,0.9954,1983043,4099774,103864641,3.95,8527,8011274130
512,16,16,3,off,109.2470,177.0725,0.6170,49705784,17918204,96185295,18.63,127954,8132438323
512,16,16,3,on,108.3975,110.0500,0.9850,1334490,1434048,99992169,1.43,4511,8134655402
512,16,32,2,off,109.5940,110.3620,0.9930,89460656,1384231,174923548,0.79,129731,7999399079
512,16,32,2,on,108.5505,109.4885,0.9914,1990425,1503394,100666862,1.49,8028,7999519520
512,16,32,3,off,109.4095,191.8380,0.5703,49443170,20810937,96364139,21.60,105311,8110876933
512,16,32,3,on,108.3605,110.1400,0.9838,1324673,1034409,98160115,1.05,6719,8114152790
