size,l2_distance,l1_distance,fill_level,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,32,8,0,off,11.8688,11.2822,1.0520,5881393,80701,12015474,0.67,10472,1022448827
256,32,8,0,on,11.1820,11.2272,0.9960,214636,78273,12094091,0.65,7497,1018359851
256,32,8,1,off,11.2234,11.9128,0.9421,10695642,55815,19906268,0.28,7858,1029555480
256,32,8,1,on,11.1634,11.4780,0.9726,242045,67890,12149229,0.56,5727,1025636023
256,32,8,2,off,11.3594,11.5912,0.9800,10733167,48338,21140315,0.23,6024,1004934645
256,32,8,2,on,11.3170,11.1472,1.0152,243581,78604,12102511,0.65,5573,1007799551
256,32,8,3,off,11.2254,11.2868,0.9946,5727560,50088,12056992,0.42,9216,1017690811
256,32,8,3,on,11.3280,11.2668,1.0054,222360,83022,12162516,0.68,5770,1015780452
256,64,16,0,off,11.2724,11.3508,0.9931,5707185,56233,12032826,0.47,6753,1008020458
256,64,16,0,on,11.4916,11.3388,1.0135,216593,77058,12089172,0.64,3697,1009301647
256,64,16,1,off,11.2280,11.4824,0.9778,10733577,50017,19813711,0.25,6907,1016325645
256,64,16,1,on,11.1636,11.3984,0.9794,244661,71385,12151112,0.59,5938,1013880299
256,64,16,2,off,11.5036,11.3206,1.0162,10725286,77479,20348776,0.38,12197,993620569
256,64,16,2,on,11.1756,11.1714,1.0004,274811,69818,12231941,0.57,3065,991891509
256,64,16,3,off,11.9794,11.4408,1.0471,5655596,67414,12086355,0.56,6937,1006410903
256,64,16,3,on,11.1472,11.2490,0.9910,226957,76833,12118549,0.63,5530,1006504068
256,128,32,0,off,11.8426,11.2072,1.0567,6132130,68663,12051086,0.57,12660,988346467
256,128,32,0,on,11.1894,11.1908,0.9999,232055,77618,12082232,0.64,4345,987084854
256,128,32,1,off,11.2346,11.4660,0.9798,10647181,54018,17271690,0.31,9786,993001714
256,128,32,1,on,11.3084,11.3520,0.9962,388227,71755,15181743,0.47,6334,996505049
256,128,32,2,off,11.2202,11.3076,0.9923,10691815,49629,17269071,0.29,4921,980735116
256,128,32,2,on,11.1536,11.1222,1.0028,352942,71395,15123825,0.47,6104,981440953
256,128,32,3,off,11.2338,11.2578,0.9979,5964450,58057,12081438,0.48,5942,986003999
256,128,32,3,on,11.1466,11.2118,0.9942,229725,79275,12135850,0.65,4512,987918349
256,256,64,0,off,11.2162,11.0578,1.0143,10667410,45411,12037952,0.38,5748,945990006
256,256,64,0,on,11.1380,11.5946,0.9606,286491,85435,12159665,0.70,6187,942609051
256,256,64,1,off,11.2746,10.9740,1.0274,10649976,47487,12045769,0.39,9567,944412225
256,256,64,1,on,11.1424,10.9698,1.0157,275898,82689,12142523,0.68,6991,946908925
256,256,64,2,off,11.3236,11.1512,1.0155,10670995,47351,12041611,0.39,9347,946052506
256,256,64,2,on,11.4178,11.1456,1.0244,273368,89445,12144246,0.74,5996,947593401
256,256,64,3,off,11.2102,10.9970,1.0194,10654514,46201,12102133,0.38,10780,944497305
256,256,64,3,on,11.3832,11.0356,1.0315,282406,82957,12137993,0.68,5258,942011095
512,32,8,0,off,109.4912,110.2348,0.9933,50003713,1036757,96675163,1.07,128445,8119335897
512,32,8,0,on,108.5896,109.9144,0.9879,1352620,2298851,99623547,2.31,8595,8106855402
512,32,8,1,off,109.6500,112.8282,0.9718,89435004,1524478,170557847,0.89,135261,8192117590
512,32,8,1,on,108.6624,110.3660,0.9846,1792836,1662027,100048564,1.66,6114,8186435342
