size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,11.3265,13.4575,0.8416,6080017,74331,12311695,0.60,12931,1138016062
256,on,11.2025,13.5200,0.8286,229748,104434,12513294,0.83,3585,1124275372
512,off,110.7905,119.1620,0.9297,49565463,883398,97819988,0.90,65149,9022743718
512,on,109.2605,118.8910,0.9190,1456644,948720,99708381,0.95,9477,9019859014
1024,off,965.8305,997.2630,0.9685,399070210,748048019,1487533126,50.29,593012,71810839893
1024,on,955.2695,995.8895,0.9592,21104299,750885484,1497337465,50.15,29564,71830830225
2048,off,8237.3595,9148.1395,0.9004,3220672679,6033716618,11957202769,50.46,208479302,573526924315
2048,on,8086.8510,8251.7055,0.9800,153420030,6054145375,12048287704,50.25,2574999,573468085746
4096,off,n/a,n/a,n/a,,,,n/a,,
4096,on,n/a,n/a,n/a,,,,n/a,,
